Wall time,Step,Value
1528975454,18,10.89131451
1528976139,42,10.72474384
1528976226,45,10.695858
1528977440,71,10.56540871
1528978100,94,10.53770161
1528980824,155,10.42908001
1528980909,158,10.3928566
1528981163,167,10.35082054
1528983699,229,10.26253223
1528983886,234,10.26461792
1528985522,255,10.1989975
1528986410,273,10.17334175
1528988132,308,10.1118269
1528988196,310,10.11971378
1528988455,318,10.08228683
1528989559,347,10.04605293
1528991142,367,10.00492764
1528993693,421,9.947722435
1528995413,460,9.858214378
1528995860,474,9.827263832
1528998133,536,9.666535378
1528999375,563,9.599974632
1528999834,579,9.548734665
1529000031,586,9.550721169
1529000059,587,9.583078384
1529001408,620,9.492343903
1529001796,634,9.466038704
1529002171,647,9.453392029
1529003025,661,9.413200378
1529003307,671,9.44334507
1529005152,714,9.318645477
1529005431,722,9.32889843
1529007395,765,9.242863655
1529007529,769,9.222111702
1529007596,771,9.213904381
1529008064,785,9.186189651
1529008130,787,9.179263115
1529008362,794,9.191067696
1529009113,802,9.175123215
1529009312,808,9.173798561
1529010252,836,9.108616829
1529014826,945,8.928808212
1529016147,971,8.836971283
1529016179,972,8.824810982
1529016374,978,8.820342064
1529016569,984,8.836052895
1529017649,1002,8.802716255
1529017749,1005,8.817795753
1529018051,1014,8.774255753
1529020173,1063,8.660052299
1529020272,1066,8.687867165
1529021171,1093,8.627511978
1529021370,1099,8.606946945
1529022022,1104,8.625616074
1529024228,1156,8.531175613
1529024395,1161,8.508323669
1529024429,1162,8.507961273
1529025023,1180,8.450426102
1529025454,1193,8.398979187
1529027611,1244,8.355957031
1529028644,1261,8.340540886
1529030948,1316,8.188594818
1529031049,1319,8.209450722
1529031517,1333,8.17519474
1529031651,1337,8.153903961
1529033731,1385,8.048358917
1529033962,1392,8.065806389
1529035187,1414,8.030718803
1529035586,1426,8.019406319
1529035917,1436,7.985923767
1529037402,1466,7.903660297
1529037768,1477,7.933815956
1529038242,1491,7.896396637
1529039801,1523,7.84237051
1529041217,1552,7.740936756
1529041735,1568,7.734580994
1529042254,1584,7.689437389
1529042385,1588,7.672033787
1529043441,1605,7.692427635
1529044613,1640,7.589655876
1529047197,1682,7.552990437
1529047480,1691,7.531534195
1529048558,1709,7.477569103
1529048853,1718,7.4508605
1529049282,1732,7.446192741
1529049339,1734,7.437005043
1529049425,1737,7.445389748
1529051429,1781,7.332992554
1529053118,1826,7.264642239
1529053620,1844,7.248833179
1529054310,1853,7.22603178
1529054719,1866,7.199703217
1529054814,1869,7.165227413
1529055068,1877,7.204726219
1529056831,1917,7.11863184
1529057402,1934,7.082162857
1529057705,1944,7.05962801
1529057794,1947,7.040463924
1529060283,2001,6.948485374
1529060660,2013,6.899153709
1529061399,2036,6.896690369
1529063047,2076,6.759485245
1529063080,2077,6.787345886
1529063340,2085,6.784941196
1529063468,2089,6.764283657
1529063694,2096,6.715213776
1529065874,2149,6.681480408
1529066520,2156,6.660824776
1529067479,2187,6.575187683
1529067606,2191,6.557513714
1529067839,2199,6.531715393
1529068523,2207,6.570667744
1529068639,2211,6.542293072
1529069240,2231,6.529399872
1529069389,2236,6.517816544
1529069418,2237,6.544191837
1529070475,2257,6.453344345
1529070633,2262,6.415795326
1529071739,2297,6.380037308
1529072514,2307,6.375708103
1529072905,2319,6.335489273
1529073746,2345,6.256709576
1529074491,2354,6.22465229
1529075490,2389,6.189731598
1529075519,2390,6.186652184
1529075576,2392,6.183261871
1529077268,2436,6.124047756
1529077497,2444,6.148027897
1529078180,2453,6.155241966
1529078236,2455,6.122631073
1529078376,2460,6.095816135
1529079073,2485,6.075309277
1529079101,2486,6.071609497
1529079379,2496,6.038940907
1529079434,2498,6.068740368
1529080003,2503,6.007677555
1529080395,2517,6.014148235
1529080562,2523,5.96299696
1529080814,2532,5.938076973
1529081254,2547,5.968548775
1529081878,2553,5.96069622
1529086557,2685,5.691617966
1529087500,2703,5.627314568
1529088534,2740,5.603829861
1529089358,2754,5.538910389
1529090344,2789,5.472002983
1529093539,2872,5.299434185
1529094210,2896,5.210709095
1529097089,2967,5.19755888
1529097312,2975,5.168961048
1529098754,3011,5.072861195
1529099510,3038,4.99930191
1529099594,3041,5.039120674
1529101646,3099,4.945851326
1529104240,3161,4.752637863
1529104688,3177,4.761538029
1529105192,3195,4.69556427
1529105221,3196,4.710027695
1529106604,3230,4.709606647
1529106885,3240,4.67235136
1529106969,3243,4.695909977
1529106997,3244,4.718394756
1529107053,3246,4.696598053
1529107081,3247,4.682378292
1529109570,3305,4.523492336
1529110690,3345,4.456779957
1529111988,3376,4.406930447
1529113175,3403,4.35325861
1529113315,3408,4.361079216
1529113931,3430,4.306814671
1529114464,3449,4.299386978
1529115314,3464,4.277248859
1529115761,3480,4.248039722
1529117007,3509,4.174932957
1529117091,3512,4.161530018
1529119986,3600,3.971082211
1529120919,3618,3.89596796
1529120975,3620,3.965107679
1529121031,3622,4.012007236
1529121199,3628,4.007574081
1529122410,3656,3.831999063
1529122802,3670,3.789324284
1529124802,3726,3.801964998
1529124914,3730,3.760501146
1529125220,3741,3.679757595
1529127106,3793,3.630576372
1529128126,3814,3.566975355
1529128266,3819,3.570150375
1529128324,3821,3.575134277
1529128603,3831,3.558963299
1529129957,3864,3.487356663
1529130293,3876,3.583405256
1529132181,3928,3.475708246
1529133393,3956,3.353731871
1529134181,3984,3.31897831
1529135688,4022,3.30895257
1529135996,4033,3.246963978
1529136079,4036,3.287644148
1529138105,4093,3.149819851
1529138245,4098,3.154593229
1529138982,4109,3.126752138
1529141909,4182,2.96287322
1529142344,4194,2.950107574
1529142418,4196,2.940815687
1529143097,4201,2.957506418
1529143135,4202,2.967294455
1529143969,4227,2.984762192
1529144115,4232,2.908991814
1529144202,4235,2.893170357
1529144433,4243,2.855199814
1529145587,4263,2.874752998
1529145711,4266,2.930620909
1529146399,4282,2.839996576
1529148048,4304,2.804724932
1529148513,4317,2.756363869
1529148587,4319,2.773604155
1529150950,4369,2.677932024
1529151767,4393,2.632150173
1529152000,4400,2.604629278
1529152620,4406,2.57603693
1529153489,4433,2.640531778
1529155959,4492,2.4085536
1529157048,4509,2.430918217
1529157747,4530,2.428890467
1529160022,4578,2.342821836
1529160151,4581,2.450480461
1529163319,4628,2.243126869
1529164994,4656,2.187250376
1529165425,4664,2.202147007
1529165638,4668,2.17056942
1529166052,4676,2.136638403
1529167758,4713,2.099784136
1529167986,4718,2.092773199
1529169406,4750,2.053501368
1529170240,4758,2.066764355
1529171266,4788,2.046602964
1529171624,4800,2.021651268
1529172115,4802,1.991957307
1529173306,4840,2.01106739
1529174218,4852,1.955519795
1529175624,4894,1.890632749
1529178452,4962,1.847971678
1529178709,4971,1.83924973
1529178794,4974,1.856732011
1529181674,5050,1.652963877
1529182225,5052,1.669427752
1529182259,5053,1.677276134
1529184516,5106,1.634980202
1529185441,5134,1.604305863
1529188104,5200,1.496320367
1529189880,5239,1.531982422
1529193767,5329,1.346134543
1529194216,5345,1.288079739
1529195042,5359,1.392992377
1529197183,5420,1.224082589
1529197803,5442,1.200698137
1529200712,5515,1.26704216
1529200768,5517,1.100271106
1529201666,5549,1.159610748
1529202771,5573,1.125414729
1529203164,5587,1.126215577
1529204802,5630,1.113543749
1529206021,5658,1.125137687
1529206077,5660,1.130778074
1529206190,5664,1.115766764
1529206613,5679,1.020563602
1529208196,5720,0.999719501
1529208280,5723,1.007490158
1529210205,5776,1.039047122
1529211646,5808,0.963946104
1529212220,5825,0.956585586
1529212325,5828,0.967738569
1529213992,5862,0.960956037
1529214061,5864,0.957648098
1529214297,5871,0.946984828
1529216041,5907,0.869161129
1529216759,5928,0.896959007
1529218123,5952,0.954385161
1529218303,5957,0.883250713
1529218508,5963,0.960554957
1529219460,5990,0.820893049
1529220665,6010,0.815837324
1529220840,6015,0.786760509
1529221351,6030,0.803867519
1529221518,6035,0.833828628
1529223483,6078,0.815438986
1529224900,6103,0.69580406
1529224960,6105,0.703169823
1529225864,6121,0.753056109
1529226383,6131,0.733518541
1529228704,6181,0.778745115
1529229324,6200,0.791918218
1529230252,6213,0.781296372
1529230454,6219,0.698633909
1529230885,6232,0.752494991
1529233097,6289,0.685239613
1529234224,6312,0.748798192
1529234374,6317,0.649037838
1529235075,6341,0.707591057
1529235851,6352,0.686451018
1529236172,6363,0.722422719
1529236548,6376,0.6840747
1529237251,6400,0.648050308
1529240858,6495,0.663074613
1529240887,6496,0.660188854
1529240999,6500,0.646427333
1529241990,6520,0.656174183
1529244001,6574,0.666320145
1529244297,6584,0.672589779
1529245295,6603,0.571722507
